product_ID,style_rating,product_name,fabric_type,production_type,sleeve_type,product_category,fit_type,origin,waist_size,length_cm,width_cm,height_cm,weight_g,weave_type,material_layers,thickness,stitching_type,durability_score,flexibility_score,comfort_score,popularity,max_wash_cycles,daily_use_score,outdoor_use_score,price
1,3,Classic Slim Fit Shirt,cotton,standard,short,shirt,regular,imported,88.6,168.8,64.1,48.8,2548,twill,four,130,reinforced,3.47,2.68,9,111,5000,21,27,13495
2,3,Premium Casual Shirt,cotton,standard,short,shirt,regular,imported,88.6,168.8,64.1,48.8,2548,twill,four,130,reinforced,3.47,2.68,9,111,5000,21,27,16500
3,1,Athletic Fit Hoodie,polyester,standard,short,hoodie,relaxed,imported,94.5,171.2,65.5,52.4,2823,fleece,six,152,double,2.68,3.47,9,154,5000,19,26,16500
4,2,Formal Office Shirt,cotton,standard,long,shirt,slim,local,99.8,176.6,66.2,54.3,2337,plain,four,109,reinforced,3.19,3.4,10,102,5500,24,30,13950
5,2,Winter Denim Jacket,denim,standard,long,jacket,regular,local,99.4,176.6,66.4,54.3,2824,heavy,five,136,double,3.19,3.4,8,115,5500,18,22,17450
6,2,Everyday Casual Shirt,cotton,standard,short,shirt,regular,local,99.8,177.3,66.3,53.1,2507,plain,five,136,reinforced,3.19,3.4,8.5,110,5500,19,25,15250
7,1,Longline Winter Coat,wool,standard,long,coat,relaxed,imported,105.8,192.7,71.4,55.7,2844,heavy,five,136,double,3.19,3.4,8.5,110,5500,19,25,17710
8,1,Outdoor Travel Jacket,polyester,standard,long,jacket,relaxed,imported,105.8,192.7,71.4,55.7,2954,heavy,five,136,double,3.19,3.4,8.5,110,5500,19,25,18920
9,1,Premium Leather Jacket,leather,turbo,long,jacket,slim,imported,105.8,192.7,71.4,55.9,3086,leather,five,131,reinforced,3.13,3.4,8.3,140,5500,17,20,23875
10,0,Designer Street Hoodie,polyester,turbo,short,hoodie,oversized,imported,99.5,178.2,67.9,52,3053,fleece,five,131,double,3.13,3.4,7,160,5500,16,22,17859.167
