product_id,trend_score,product_name,product_type,fit_type,size_range,category,usage_type,collection_type,base_length,product_length,product_width,product_height,package_weight,fabric_type,variant_count,material_density,manufacturing_method,quality_ratio,stitch_density,care_level,popularity_score,restock_rate,comfort_rating,durability_rating,price
1,3,Satin Evening Gown,clothing,slim,full,dress,luxury,premium,88.6,168.8,64.1,48.8,2548,satin,4,130,handcrafted,3.47,2.68,9,111,5000,4.2,4.5,134.95
2,3,Velvet Cocktail Dress,clothing,slim,full,dress,luxury,premium,88.6,168.8,64.1,48.8,2548,velvet,4,130,handcrafted,3.47,2.68,9,114,5000,4.3,4.6,165.00
3,1,Silk Summer Dress,clothing,regular,full,dress,casual,basic,94.5,171.2,65.5,52.4,2823,silk,6,152,stitched,2.68,3.47,9,108,5000,4.5,4.2,165.00
4,2,Cotton Office Blouse,clothing,regular,full,top,formal,basic,99.8,176.6,66.2,54.3,2337,cotton,4,109,stitched,3.19,3.40,10,96,5500,4.6,4.4,139.50
5,2,Linen Work Shirt,clothing,relaxed,full,top,formal,premium,99.4,176.6,66.4,54.3,2824,linen,5,136,stitched,3.19,3.40,8,102,5500,4.4,4.5,174.50
6,2,Classic White Tee,clothing,regular,limited,top,casual,basic,99.8,177.3,66.3,53.1,2507,cotton-knit,5,136,stitched,3.19,3.40,8.5,95,5500,4.8,4.3,152.50
7,1,Wool Winter Coat,clothing,relaxed,full,outerwear,luxury,premium,105.8,192.7,71.4,55.7,2844,wool,5,136,layered,3.19,3.40,8.5,110,5500,4.1,4.7,177.10
8,1,Cashmere Cardigan,clothing,regular,full,outerwear,luxury,premium,105.8,192.7,71.4,55.7,2954,cashmere,5,136,handcrafted,3.19,3.40,8.5,112,5500,4.3,4.8,189.20
9,1,Designer Handbag,accessory,structured,full,bag,luxury,premium,105.8,192.7,71.4,55.9,3086,leather,5,131,assembled,3.13,3.40,8.3,140,5500,4.6,4.9,238.75
10,0,Leather Crossbody Bag,accessory,structured,limited,bag,casual,premium,99.5,178.2,67.9,52,3053,leather,5,131,assembled,3.13,3.40,7,132,5500,4.5,4.7,178.59
